transaction_id,customer_id,transaction_date,transaction_time,amount,merchant_category,location,payment_method,is_fraud,fraud_reason
TXN0000001,CUST00229,2023-06-05,20:13:48,1207.2,Travel,Pune,Debit Card,No,None
TXN0000002,CUST00052,2023-01-15,21:36:03,3992.72,Healthcare,Mumbai,Debit Card,Yes,Amount Spike
TXN0000003,CUST00564,2023-04-17,08:34:31,1446.97,Online Shopping,Bangalore,Credit Card,No,None
TXN0000004,CUST00502,2023-03-16,15:13:23,4136.63,Food & Beverage,Chennai,Wallet,No,None
TXN0000005,CUST00458,2023-12-27,19:49:26,502.21,Travel,Bangalore,Credit Card,No,None
TXN0000006,CUST00286,2023-02-26,18:46:04,502.22,Retail,Kolkata,Credit Card,No,None
TXN0000007,CUST00210,2023-06-15,13:25:54,4425.13,Retail,Kolkata,Credit Card,No,None
TXN0000008,CUST01117,2023-01-07,20:36:56,1670.57,Online Shopping,Bangalore,Debit Card,Yes,High Frequency
TXN0000009,CUST00179,2023-08-28,09:53:32,378.66,Travel,International,Credit Card,Yes,Location Anomaly
TXN0000010,CUST00865,2023-03-19,12:48:44,1275.47,Retail,Unknown,Wallet,No,None
TXN0000011,CUST00066,2023-02-05,07:34:46,381.42,Travel,Ahmedabad,Net Banking,No,None
TXN0000012,CUST00062,2023-12-02,16:19:37,380.36,Fuel,Hyderabad,Debit Card,No,None
TXN0000013,CUST00192,2023-01-20,18:56:18,889.23,Entertainment,Pune,Debit Card,No,None
TXN0000014,CUST00448,2023-05-28,17:08:37,66.96,Entertainment,Ahmedabad,Credit Card,No,None
TXN0000015,CUST00477,2023-06-08,04:17:05,83.94,Food & Beverage,Chennai,Net Banking,No,None
TXN0000016,CUST01035,2023-07-23,21:05:09,338.75,Retail,Mumbai,UPI,No,None
TXN0000017,CUST00055,2023-04-30,00:16:59,849.15,Travel,Hyderabad,Wallet,Yes,Amount Spike
TXN0000018,CUST01150,2023-09-29,21:57:12,969.81,Fuel,Ahmedabad,Debit Card,No,None
TXN0000019,CUST00408,2023-09-03,22:52:36,223.71,Entertainment,Delhi,Debit Card,No,None
TXN0000020,CUST01117,2023-03-31,21:03:43,122.15,Food & Beverage,Chennai,Net Banking,No,None
TXN0000021,CUST00860,2023-03-28,03:05:42,3861.37,Retail,Unknown,Debit Card,Yes,Location Anomaly
TXN0000022,CUST00452,2023-05-11,13:24:16,507.28,Food & Beverage,Kolkata,Wallet,No,None
TXN0000023,CUST00920,2023-06-15,11:18:53,721.28,Retail,Unknown,Net Banking,No,None
TXN0000024,CUST00570,2023-07-06,02:25:24,120.34,Retail,Hyderabad,Credit Card,No,None
TXN0000025,CUST00014,2023-01-24,19:49:15,3304.59,Electronics,Kolkata,Debit Card,Yes,Amount Spike
TXN0000026,CUST00327,2023-07-18,00:16:26,759.84,Travel,Ahmedabad,Debit Card,No,None
TXN0000027,CUST00866,2023-06-15,20:36:26,167.14,Healthcare,Chennai,Net Banking,No,None
TXN0000028,CUST00697,2023-09-08,01:19:58,4741.53,Online Shopping,Mumbai,UPI,Yes,Amount Spike
TXN0000029,CUST00570,2023-01-21,01:27:50,323.51,Food & Beverage,Kolkata,Debit Card,No,None
TXN0000030,CUST00319,2023-04-29,04:11:17,468.7,Fuel,International,UPI,No,None
TXN0000031,CUST00441,2023-02-12,17:47:11,323.1,Fuel,Ahmedabad,UPI,No,None
TXN0000032,CUST00690,2023-04-15,13:33:19,6140.94,Food & Beverage,Pune,Credit Card,No,None
TXN0000033,CUST00210,2023-05-22,04:46:31,3086.98,Fuel,Hyderabad,Debit Card,Yes,Amount Spike
TXN0000034,CUST00190,2023-04-19,22:58:15,186.93,Travel,Chennai,Debit Card,No,None
TXN0000035,CUST00779,2023-05-17,07:47:08,1784.79,Food & Beverage,Chennai,Credit Card,No,None
TXN0000036,CUST00199,2023-10-04,08:27:30,153.7,Online Shopping,Hyderabad,Debit Card,No,None
TXN0000037,CUST00736,2023-06-12,08:44:02,854.6,Fuel,Pune,Net Banking,No,None
TXN0000038,CUST00705,2023-04-06,21:54:52,63.33,Travel,Chennai,Debit Card,No,None
TXN0000039,CUST00542,2023-05-05,05:07:59,135.12,Food & Beverage,Hyderabad,Net Banking,No,None
TXN0000040,CUST00089,2023-12-14,14:59:41,842.38,Online Shopping,Delhi,Debit Card,No,None
TXN0000041,CUST00941,2023-01-19,11:15:27,1613.5,Electronics,Chennai,Debit Card,No,None
TXN0000042,CUST01099,2023-03-12,14:02:52,817.0,Fuel,Kolkata,Wallet,No,None
TXN0000043,CUST00256,2023-01-16,21:06:51,578.95,Retail,Kolkata,UPI,No,None
TXN0000044,CUST00776,2023-01-01,04:59:42,463.44,Healthcare,International,UPI,No,None
TXN0000045,CUST00162,2023-01-21,05:53:33,933.43,Entertainment,International,Credit Card,Yes,Amount Spike
TXN0000046,CUST01131,2023-09-14,11:39:38,280.39,Travel,International,UPI,Yes,Location Anomaly
TXN0000047,CUST00601,2023-10-17,05:37:01,382.69,Online Shopping,Hyderabad,UPI,No,None
TXN0000048,CUST00741,2023-05-05,21:53:54,2365.03,Online Shopping,International,UPI,No,None
TXN0000049,CUST01183,2023-03-24,07:46:26,1004.6,Entertainment,Pune,Credit Card,No,None
TXN0000050,CUST00394,2023-04-21,19:20:48,80.19,Fuel,Chennai,Net Banking,No,None
TXN0000051,CUST00143,2023-07-03,07:54:03,981.32,Fuel,International,Debit Card,No,None
TXN0000052,CUST00094,2023-04-19,19:16:27,419.01,Healthcare,Pune,Wallet,No,None
TXN0000053,CUST00467,2023-12-19,19:39:56,295.21,Healthcare,Chennai,Debit Card,No,None
TXN0000054,CUST00593,2023-08-24,13:11:35,1385.77,Electronics,International,Wallet,No,None
TXN0000055,CUST00164,2023-02-09,03:10:01,2292.04,Fuel,Pune,Wallet,No,None
TXN0000056,CUST00477,2023-06-17,08:20:57,2033.55,Entertainment,Hyderabad,UPI,No,None
TXN0000057,CUST00207,2023-03-13,18:50:01,242.97,Electronics,International,UPI,No,None
TXN0000058,CUST00779,2023-04-08,23:15:43,458.95,Electronics,Kolkata,UPI,No,None
TXN0000059,CUST00570,2023-07-10,19:07:14,989.81,Online Shopping,Bangalore,UPI,No,None
TXN0000060,CUST00929,2023-05-22,04:49:22,18372.39,Travel,Kolkata,Net Banking,Yes,Amount Spike
TXN0000061,CUST00748,2023-05-10,19:44:07,374.28,Travel,Ahmedabad,Credit Card,No,None
TXN0000062,CUST00334,2023-04-29,04:48:36,532.3,Retail,Pune,Wallet,No,None
TXN0000063,CUST00759,2023-02-13,07:31:19,176.34,Food & Beverage,Kolkata,UPI,No,None
TXN0000064,CUST00728,2023-02-07,15:03:15,158.31,Retail,Kolkata,UPI,No,None
TXN0000065,CUST00430,2023-09-17,19:02:34,1763.46,Food & Beverage,Chennai,Debit Card,No,None
TXN0000066,CUST00547,2023-01-06,07:20:06,3386.28,Travel,International,Credit Card,No,None
TXN0000067,CUST00147,2023-09-23,05:39:45,610.08,Food & Beverage,Unknown,Credit Card,Yes,Location Anomaly
TXN0000068,CUST00351,2023-08-03,06:51:09,2217.73,Online Shopping,Pune,UPI,No,None
TXN0000069,CUST01094,2023-10-27,05:14:29,6283.06,Travel,Bangalore,Net Banking,Yes,Amount Spike
TXN0000070,CUST00502,2023-12-01,18:10:57,306.7,Travel,Mumbai,Debit Card,No,None
TXN0000071,CUST00335,2023-02-20,14:33:33,1026.26,Food & Beverage,Ahmedabad,Net Banking,No,None
TXN0000072,CUST00947,2023-05-09,15:07:01,4211.79,Fuel,Ahmedabad,Credit Card,No,None
TXN0000073,CUST00778,2023-05-21,00:44:38,637.15,Entertainment,Hyderabad,Credit Card,No,None
TXN0000074,CUST00553,2023-10-15,21:20:35,4348.44,Entertainment,International,Debit Card,No,None
TXN0000075,CUST01141,2023-11-11,14:04:32,50.0,Electronics,Ahmedabad,Debit Card,No,None
